"__v","myPickSelected","hasVisualization","table","symmetry","polish","lxwRatio","fluorescence","depth","cut","culet","color","clarity","shapeName","shapeCode","id","skus","shipsInDaysSet","shipsInDays","pricePerCarat","price","dateSet","date","carat","detailsPageUrl","detailsUrl","_id"
"0","false","true","56.0","Very Good","Very Good","1.01","None","62.7","[object Object]","None","H","SI1","Round","RD","LD08782823","LD08782823","Call","Call","$2,274","$1,137","Oct 5","Oct 4","0.50","./diamond-details/LD08782823","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08782823","59c9a251edebd80feea117d4"
"0","false","false","58.0","Very Good","Excellent","1.01","None","62.3","[object Object]","None","E","SI1","Round","RD","LD09117285","LD09117285","Call","Call","$2,334","$1,167","Oct 5","Oct 4","0.50","./diamond-details/LD09117285","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09117285","59c9a251edebd80feea117d6"
"0","false","false","59.0","Excellent","Excellent","1.00","None","61.7","[object Object]","None","E","SI1","Round","RD","LD08914567","LD08914567","Call","Call","$2,300","$1,150","Oct 5","Oct 4","0.50","./diamond-details/LD08914567","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08914567","59c9a251edebd80feea117d5"
"0","false","false","60.0","Excellent","Excellent","1.00","None","59.6","[object Object]","None","H","SI1","Round","RD","LD09331426","LD09331426","Call","Call","$2,346","$1,173","Oct 5","Oct 4","0.50","./diamond-details/LD09331426","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09331426","59c9a251edebd80feea117d7"
"0","false","true","58.0","Very Good","Excellent","1.01","None","62.4","[object Object]","None","E","SI1","Round","RD","LD09107770","LD09107770","Call","Call","$2,354","$1,177","Sep 28","Sep 27","0.50","./diamond-details/LD09107770","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09107770","59c9a251edebd80feea117d8"
"0","false","true","56.0","Very Good","Excellent","1.01","None","62.7","[object Object]","None","F","SI1","Round","RD","LD08750562","LD08750562","Call","Call","$2,428","$1,214","Oct 5","Oct 4","0.50","./diamond-details/LD08750562","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08750562","59c9a251edebd80feea117dd"
"0","false","true","59.0","Very Good","Excellent","1.00","None","62.1","[object Object]","None","G","SI1","Round","RD","LD08940203","LD08940203","Call","Call","$2,426","$1,213","Oct 5","Oct 4","0.50","./diamond-details/LD08940203","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08940203","59c9a251edebd80feea117db"
"0","false","false","59.0","Very Good","Excellent","1.01","None","62.6","[object Object]","None","G","SI1","Round","RD","LD09199877","LD09199877","Call","Call","$2,394","$1,197","Oct 5","Oct 4","0.50","./diamond-details/LD09199877","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09199877","59c9a251edebd80feea117d9"
"0","false","true","56.0","Very Good","Very Good","1.01","None","62.4","[object Object]","None","F","SI1","Round","RD","LD09028343","LD09028343","Call","Call","$2,426","$1,213","Oct 5","Oct 4","0.50","./diamond-details/LD09028343","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09028343","59c9a251edebd80feea117dc"
"0","false","true","54.0","Excellent","Excellent","1.00","None","62.8","[object Object]","None","G","SI1","Round","RD","LD08899602","LD08899602","Call","Call","$2,400","$1,200","Oct 3","Oct 2","0.50","./diamond-details/LD08899602","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08899602","59c9a251edebd80feea117da"
"0","false","false","62.0","Very Good","Excellent","1.01","None","60.2","[object Object]","None","G","SI1","Round","RD","LD09343626","LD09343626","Call","Call","$2,442","$1,221","Oct 5","Oct 4","0.50","./diamond-details/LD09343626","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09343626","59c9a251edebd80feea117e2"
"0","false","false","55.0","Very Good","Excellent","1.01","None","63.0","[object Object]","None","E","SI1","Round","RD","LD08586825","LD08586825","Call","Call","$2,438","$1,219","Oct 5","Oct 4","0.50","./diamond-details/LD08586825","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08586825","59c9a251edebd80feea117e0"
"0","false","false","57.0","Very Good","Excellent","1.01","None","62.4","[object Object]","None","E","SI1","Round","RD","LD08804768","LD08804768","Call","Call","$2,438","$1,219","Oct 5","Oct 4","0.50","./diamond-details/LD08804768","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08804768","59c9a251edebd80feea117e1"
"0","false","true","56.0","Very Good","Very Good","1.01","None","62.6","[object Object]","None","H","SI1","Round","RD","LD06935894","LD06935894","Call","Call","$2,432","$1,216","Oct 5","Oct 4","0.50","./diamond-details/LD06935894","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06935894","59c9a251edebd80feea117de"
"0","false","false","57.0","Very Good","Excellent","1.01","None","62.5","[object Object]","None","F","SI1","Round","RD","LD08213527","LD08213527","Call","Call","$2,458","$1,229","Oct 5","Oct 4","0.50","./diamond-details/LD08213527","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08213527","59c9a251edebd80feea117e7"
"0","false","false","54.0","Very Good","Excellent","1.00","None","62.9","[object Object]","None","E","SI1","Round","RD","LD09038065","LD09038065","Call","Call","$2,432","$1,216","Oct 5","Oct 4","0.50","./diamond-details/LD09038065","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09038065","59c9a251edebd80feea117df"
"0","false","false","59.0","Excellent","Very Good","1.00","None","59.5","[object Object]","None","F","SI1","Round","RD","LD09323470","LD09323470","Call","Call","$2,448","$1,224","Oct 5","Oct 4","0.50","./diamond-details/LD09323470","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09323470","59c9a251edebd80feea117e5"
"0","false","true","57.0","Very Good","Excellent","1.01","None","61.8","[object Object]","None","G","SI1","Round","RD","LD08282570","LD08282570","Call","Call","$2,450","$1,225","Oct 5","Oct 4","0.50","./diamond-details/LD08282570","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08282570","59c9a251edebd80feea117e6"
"0","false","false","57.0","Excellent","Excellent","1.00","None","62.3","[object Object]","None","E","SI1","Round","RD","LD09373950","LD09373950","Call","Call","$2,446","$1,223","Oct 5","Oct 4","0.50","./diamond-details/LD09373950","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09373950","59c9a251edebd80feea117e3"
"0","false","false","56.0","Excellent","Very Good","1.00","None","62.3","[object Object]","None","E","SI1","Round","RD","LD09117286","LD09117286","Call","Call","$2,458","$1,229","Oct 5","Oct 4","0.50","./diamond-details/LD09117286","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09117286","59c9a251edebd80feea117ec"
"0","false","true","57.0","Excellent","Excellent","1.00","None","62.1","[object Object]","None","E","SI1","Round","RD","LD09117282","LD09117282","Call","Call","$2,458","$1,229","Oct 5","Oct 4","0.50","./diamond-details/LD09117282","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09117282","59c9a251edebd80feea117ea"
"0","false","true","56.0","Excellent","Very Good","1.00","None","61.6","[object Object]","None","E","SI1","Round","RD","LD08230257","LD08230257","Call","Call","$2,458","$1,229","Oct 5","Oct 4","0.50","./diamond-details/LD08230257","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08230257","59c9a251edebd80feea117e8"
"0","false","true","58.0","Excellent","Excellent","1.00","None","62.2","[object Object]","None","F","SI1","Round","RD","LD08977173","LD08977173","Call","Call","$2,448","$1,224","Oct 5","Oct 4","0.50","./diamond-details/LD08977173","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08977173","59c9a251edebd80feea117e4"
"0","false","true","61.0","Very Good","Excellent","1.00","None","60.4","[object Object]","None","E","SI1","Round","RD","LD09117284","LD09117284","Call","Call","$2,458","$1,229","Oct 5","Oct 4","0.50","./diamond-details/LD09117284","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09117284","59c9a251edebd80feea117eb"
"0","false","false","58.0","Very Good","Excellent","1.01","None","62.5","[object Object]","None","F","SI1","Round","RD","LD08344493","LD08344493","Call","Call","$2,478","$1,239","Oct 5","Oct 4","0.50","./diamond-details/LD08344493","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08344493","59c9a251edebd80feea117f1"
"0","false","false","62.0","Very Good","Excellent","1.00","None","59.8","[object Object]","None","F","SI1","Round","RD","LD09323450","LD09323450","Call","Call","$2,468","$1,234","Oct 5","Oct 4","0.50","./diamond-details/LD09323450","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09323450","59c9a251edebd80feea117ef"
"0","false","false","57.0","Excellent","Very Good","1.01","None","62.6","[object Object]","None","H","SI1","Round","RD","LD09392394","LD09392394","Call","Call","$2,466","$1,233","Oct 5","Oct 4","0.50","./diamond-details/LD09392394","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09392394","59c9a251edebd80feea117ed"
"0","false","true","55.0","Very Good","Excellent","1.01","None","62.7","[object Object]","None","F","SI1","Round","RD","LD08250693","LD08250693","Call","Call","$2,458","$1,229","Oct 5","Oct 4","0.50","./diamond-details/LD08250693","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08250693","59c9a251edebd80feea117e9"
"0","false","true","56.0","Very Good","Excellent","1.01","None","62.3","[object Object]","None","F","SI1","Round","RD","LD09124982","LD09124982","Call","Call","$2,470","$1,235","Oct 5","Oct 4","0.50","./diamond-details/LD09124982","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09124982","59c9a251edebd80feea117f0"
"0","false","false","56.0","Excellent","Excellent","1.01","None","62.8","[object Object]","None","H","SI1","Round","RD","LD08560391","LD08560391","Call","Call","$2,502","$1,251","Oct 5","Oct 4","0.50","./diamond-details/LD08560391","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08560391","59c9a251edebd80feea117f6"
"0","false","false","59.0","Excellent","Excellent","1.01","None","61.5","[object Object]","None","E","SI1","Round","RD","LD09061029","LD09061029","Call","Call","$2,468","$1,234","Oct 5","Oct 4","0.50","./diamond-details/LD09061029","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09061029","59c9a251edebd80feea117ee"
"0","false","false","56.0","Very Good","Very Good","1.00","None","63.1","[object Object]","None","F","SI1","Round","RD","LD09355614","LD09355614","Call","Call","$2,484","$1,242","Oct 5","Oct 4","0.50","./diamond-details/LD09355614","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD09355614","59c9a251edebd80feea117f2"
"0","false","false","61.0","Excellent","Excellent","1.00","None","59.2","[object Object]","None","E","SI1","Round","RD","LD08804770","LD08804770","Call","Call","$2,490","$1,245","Oct 5","Oct 4","0.50","./diamond-details/LD08804770","/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08804770","59c9a251edebd80feea117f4"
